timestep,AVL_security_pct,ETH_security_pct,total_security,total_fdv,staking_ratio_all,staking_ratio_avl_fusion,staking_ratio_eth_fusion,inflation_rate,total_annual_inflation_rewards_in_avl,total_annual_inflation_rewards_usd,total_annual_rewards_fusion_usd,agents,avg_yield,yield_pcts,fusion_rewards_allocation,avl_rewards_allocation,simulation,subset,run,substep
0,0,100,0.0,1104533428.3779259,0.3,0.0,0.0,0.034,340000000.0,34000000.0,13062500.0,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0.0, price=0.1), 'ETH': AssetAllocation(pct=0.0, balance=0, price=3000), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=100, accu_rewards_avl=0.273972602739726), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=0.1), 'ETH': AssetAllocation(pct=1.0, balance=0.0003333333333333333, price=3000), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=0.1), 'ETH': AssetAllocation(pct=0.0, balance=0, price=3000), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",0.0,"{'avl_maxi': 0, 'eth_maxi': 0}",0.38419117647058826,0.4306220095693779,0,0,1,0
1,0,100,0.0,1104533428.3779259,0.3,0.0,0.0,0.034,340000000.0,34000000.0,13062500.0,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0.0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=100, accu_rewards_avl=0.273972602739726), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=0.0003333333333333333, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",0.0,"{'avl_maxi': 0, 'eth_maxi': 0}",0.38419117647058826,0.4306220095693779,0,0,1,1
1,0,100,0.0,1104533428.3779259,0.3,0.0,0.0,0.034,340000000.0,34000000.0,13062500.0,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0.0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=100, accu_rewards_avl=0.273972602739726), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=0.0003333333333333333, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",0.0,"{'avl_maxi': 0, 'eth_maxi': 0}",0.38419117647058826,0.4306220095693779,0,0,1,2
1,0,100,0.0,1104533428.3779259,0.3,0.0,0.0,0.034,340000000.0,34000000.0,13062500.0,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=100, accu_rewards_avl=0.273972602739726), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(1891.6798748543006), price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",0.0,"{'avl_maxi': 0, 'eth_maxi': 0}",0.38419117647058826,0.4306220095693779,0,0,1,3
1,0,100,5000000.881051273,1104533428.3779259,0.3,0.0,1.0,0.034,340000000.0,34000000.0,13062500.0,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=146411483.2535885, accu_rewards_avl=401127.62535229727), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(1891.6798748543006), price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=193588516.7464115, accu_rewards_avl=530379.497935374), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",0.0,"{'avl_maxi': 0, 'eth_maxi': 0}",0.38419117647058826,0.4306220095693779,0,0,1,4
1,0,100,5000000.881051273,1104533428.3779259,0.3,0.0,1.0,0.034,340000000.0,34000000.0,13062500.0,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=146411483.2535885, accu_rewards_avl=401127.62535229727), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(1891.6798748543006), price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=193588516.7464115, accu_rewards_avl=530379.497935374), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",751.0825989485336,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(427.64990083672484), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,5
1,0,100,5000000.881051273,1104533428.3779259,0.3,0.0,1.0,0.034,340000000.0,37554136.56484948,14427967.908186657,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=146411483.2535885, accu_rewards_avl=401127.62535229727), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(1891.6798748543006), price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=193588516.7464115, accu_rewards_avl=530379.497935374), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11045334283779258)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2643.153816623639)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",751.0825989485336,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(427.64990083672484), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,6
2,0,100,5000000.881051273,1104533428.3779259,0.3,0.0,1.0,0.034,340000000.0,37554136.56484948,14427967.908186657,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=146411483.2535885, accu_rewards_avl=401127.62535229727), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(1891.6798748543006), price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=193588516.7464115, accu_rewards_avl=530379.497935374), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",751.0825989485336,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(427.64990083672484), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,1
2,0,100,5000000.881051273,1104533428.3779259,0.3,0.0,1.0,0.034,340000000.0,37554136.56484948,14427967.908186657,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=146411483.2535885, accu_rewards_avl=401127.62535229727), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(1891.6798748543006), price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=193588516.7464115, accu_rewards_avl=530379.497935374), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",751.0825989485336,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(427.64990083672484), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,2
2,0,100,5000000.881051273,1104533428.3779259,0.3,0.0,1.0,0.034,340000000.0,37554136.56484948,14427967.908186657,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=146411483.2535885, accu_rewards_avl=401127.62535229727), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(81195.66859840153), price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=193588516.7464115, accu_rewards_avl=530379.497935374), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",751.0825989485336,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(427.64990083672484), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,3
2,0,100,216958615.3799637,1104533428.3779259,0.3,0.0,1.0,0.034,340000000.0,37554136.56484948,14427967.908186657,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(146411483.2535885), accu_rewards_avl=np.float64(802254.9767319919)), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(81195.66859840153), price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(193588516.7464115), accu_rewards_avl=np.float64(1060758.995870748)), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",751.0825989485336,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(427.64990083672484), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,4
2,0,100,216958615.3799637,1104533428.3779259,0.3,0.0,1.0,0.034,340000000.0,37554136.56484948,14427967.908186657,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(146411483.2535885), accu_rewards_avl=np.float64(802254.9767319919)), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(81195.66859840153), price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(193588516.7464115), accu_rewards_avl=np.float64(1060758.995870748)), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",17.34136068281586,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(9.873789096914296), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,5
2,0,100,216958615.3799637,1106575765.4553738,0.3,0.0,1.0,0.034,340000000.0,37623576.025482714,14454645.936260823,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(146411483.2535885), accu_rewards_avl=np.float64(802254.9767319919)), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(81195.66859840153), price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(193588516.7464115), accu_rewards_avl=np.float64(1060758.995870748)), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11065757654553739)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2672.0466636348983)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",17.34136068281586,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(9.873789096914296), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,6
3,0,100,216958615.3799637,1106575765.4553738,0.3,0.0,1.0,0.034,340000000.0,37623576.025482714,14454645.936260823,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(146411483.2535885), accu_rewards_avl=np.float64(802254.9767319919)), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(81195.66859840153), price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(193588516.7464115), accu_rewards_avl=np.float64(1060758.995870748)), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",17.34136068281586,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(9.873789096914296), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,1
3,0,100,216958615.3799637,1106575765.4553738,0.3,0.0,1.0,0.034,340000000.0,37623576.025482714,14454645.936260823,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(146411483.2535885), accu_rewards_avl=np.float64(802254.9767319919)), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(81195.66859840153), price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(193588516.7464115), accu_rewards_avl=np.float64(1060758.995870748)), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",17.34136068281586,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(9.873789096914296), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,2
3,0,100,216958615.3799637,1106575765.4553738,0.3,0.0,1.0,0.034,340000000.0,37623576.025482714,14454645.936260823,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(146411483.2535885), accu_rewards_avl=np.float64(802254.9767319919)), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(83057.8667067081), price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(193588516.7464115), accu_rewards_avl=np.float64(1060758.995870748)), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",17.34136068281586,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(9.873789096914296), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,3
3,0,100,221247762.0957615,1106575765.4553738,0.3,0.0,1.0,0.034,340000000.0,37623576.025482714,14454645.936260823,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(146411483.2535885), accu_rewards_avl=np.float64(1203382.3281116863)), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(83057.8667067081), price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(193588516.7464115), accu_rewards_avl=np.float64(1591138.493806122)), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",17.34136068281586,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(9.873789096914296), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,4
3,0,100,221247762.0957615,1106575765.4553738,0.3,0.0,1.0,0.034,340000000.0,37623576.025482714,14454645.936260823,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(146411483.2535885), accu_rewards_avl=np.float64(1203382.3281116863)), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(83057.8667067081), price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(193588516.7464115), accu_rewards_avl=np.float64(1591138.493806122)), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",17.03355925918325,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(9.698533740874673), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,5
3,0,100,221247762.0957615,1108422607.829362,0.3,0.0,1.0,0.034,340000000.0,37686368.666198306,14478770.314771041,"{'avl_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=np.float64(0.0), price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(146411483.2535885), accu_rewards_avl=np.float64(1203382.3281116863)), 'eth_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=np.float64(0.0), balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=np.float64(1.0), balance=np.float64(83057.8667067081), price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=np.float64(0.0), balance=0, price=30000)}, curr_annual_rewards_avl=np.float64(193588516.7464115), accu_rewards_avl=np.float64(1591138.493806122)), 'btc_maxi': AgentStake(assets={'AVL': AssetAllocation(pct=0.0, balance=0, price=np.float64(0.11084226078293619)), 'ETH': AssetAllocation(pct=0.0, balance=0, price=np.float64(2663.7785301785584)), 'BTC': AssetAllocation(pct=0.0, balance=0.0, price=30000)}, curr_annual_rewards_avl=0.0, accu_rewards_avl=0.0)}",17.03355925918325,"{'avl_maxi': 0.0, 'eth_maxi': np.float64(9.698533740874673), 'btc_maxi': 0.0}",0.38419117647058826,0.4306220095693779,0,0,1,6
