snapped_at,price,market_cap,total_volume
2024-11-03 00:00:00 UTC,0.06678024238761444,68880525.21847822,221954930.22240648
2024-11-04 00:00:00 UTC,0.06678024238761444,68880525.21847822,221954930.22240648
2024-11-05 00:00:00 UTC,0.037479153655755104,39947616.66329279,124593702.20553997
2024-11-06 00:00:00 UTC,0.05810589567845858,58996388.40380599,104320612.59713455
2024-11-07 00:00:00 UTC,0.14162586190459467,141794593.7906036,176689101.3943287
2024-11-08 00:00:00 UTC,0.11167103507332747,111502908.87549113,100297019.268544
2024-11-09 00:00:00 UTC,0.08776497353183517,87269082.59435682,67501095.95836963
2024-11-10 00:00:00 UTC,0.09027221179051322,89727752.34129687,47663518.07905342
2024-11-11 00:00:00 UTC,0.11196580969296425,109991804.23896532,55426750.6684207
2024-11-12 00:00:00 UTC,0.3868228520245154,386934318.4473057,1134186699.894877
2024-11-13 00:00:00 UTC,0.4458447442323644,445894895.49877363,824321156.417343
2024-11-14 00:00:00 UTC,1.7016430998656646,1702165733.0990555,5136998207.317994
2024-11-15 00:00:00 UTC,1.7785401445218307,1770919575.853094,5122450137.594257
2024-11-16 00:00:00 UTC,1.7450349046324811,1739528752.2975345,4313189052.46033
2024-11-17 00:00:00 UTC,1.6914874182956927,1686155833.9312594,1887581437.2250535
2024-11-18 00:00:00 UTC,1.811622363058217,1820914353.6961367,2026777559.850174
2024-11-19 00:00:00 UTC,1.6000554635629414,1599075644.103544,1736009174.4635541
2024-11-20 00:00:00 UTC,1.7050675253816454,1705669515.8290076,2056986486.7097363
2024-11-21 00:00:00 UTC,1.4326063724743385,1437784542.4814444,1567054219.7723982
2024-11-22 00:00:00 UTC,1.3642771927539274,1363865080.1093502,2758680627.8180046
2024-11-23 00:00:00 UTC,1.1274628701323925,1126445620.1590424,2129290789.0493026
2024-11-24 00:00:00 UTC,1.1178595289739666,1117439127.6160777,2016116761.6472576
2024-11-25 00:00:00 UTC,1.172857859381925,1174326037.2671034,1686249358.9908946
2024-11-26 00:00:00 UTC,1.130536286328292,1128809577.5220335,2059271815.751381
2024-11-27 00:00:00 UTC,1.0818531272254173,1080656163.5084956,1293759999.4603841
2024-11-28 00:00:00 UTC,1.0881812887923556,1086192314.6459763,1672282027.556931
2024-11-29 00:00:00 UTC,1.1072050104291904,1107213827.8082078,1092905711.1757722
2024-11-30 00:00:00 UTC,1.285413375720846,1287506311.9751108,2048280548.7627199
2024-12-01 00:00:00 UTC,1.1924938354582704,1193273803.0158782,1096811908.2527602
2024-12-02 00:00:00 UTC,1.2240457420557018,1226299054.6633894,1147337960.5839324
2024-12-03 00:00:00 UTC,1.3149341877698681,1315014586.2079008,1874463133.4918184
2024-12-04 00:00:00 UTC,1.2301350397301734,1230297632.9104805,1672012749.1411588
2024-12-05 00:00:00 UTC,1.2479917383718795,1248174963.944783,1234363714.1331115
